время,датчик,линия,параметр,значение
2120-01-13 01:15,Т1-Л1,Линия 1,температура,85.69
2120-01-13 01:15,Т2-Л2,Линия 2,температура,90.48
2120-01-13 01:20,В1-АП,Аппаратная,вибрация,2.83
2120-01-13 01:20,П1-ПАР,Котельная,расход пара,25.6
2120-01-13 01:20,Р1-Л1,Линия 1,давление,2.57
2120-01-13 01:20,Р2-Л2,Линия 2,давление,2.56
2120-01-13 01:20,Т1-Л1,Линия 1,температура,78.11
2120-01-13 01:20,Т2-Л2,Линия 2,температура,82.58
2120-01-13 01:25,В1-АП,Аппаратная,вибрация,1.74
2120-01-13 01:25,П1-ПАР,Котельная,расход пара,54.71
2120-01-13 01:25,Р1-Л1,Линия 1,давление,3.89
2120-01-13 01:25,Р2-Л2,Линия 2,давление,2.87
2120-01-13 01:25,Т1-Л1,Линия 1,температура,94.94
2120-01-13 01:25,Т2-Л2,Линия 2,температура,80.83
2120-01-13 01:30,В1-АП,Аппаратная,вибрация,1.34
2120-01-13 01:30,П1-ПАР,Котельная,расход пара,68.16
2120-01-13 01:30,Р1-Л1,Линия 1,давление,3.01
2120-01-13 01:30,Р2-Л2,Линия 2,давление,4.26
2120-01-13 01:30,Т1-Л1,Линия 1,температура,81.68
2120-01-13 01:30,Т2-Л2,Линия 2,температура,89.56
2120-01-13 01:35,В1-АП,Аппаратная,вибрация,1.98
2120-01-13 01:35,П1-ПАР,Котельная,расход пара,34.55
2120-01-13 01:35,Р1-Л1,Линия 1,давление,2.66
2120-01-13 01:35,Р2-Л2,Линия 2,давление,3.42
2120-01-13 01:35,Т1-Л1,Линия 1,температура,82.91
2120-01-13 01:35,Т2-Л2,Линия 2,температура,84.42
2120-01-13 01:40,В1-АП,Аппаратная,вибрация,3.38
2120-01-13 01:40,П1-ПАР,Котельная,расход пара,59.33
2120-01-13 01:40,Р1-Л1,Линия 1,давление,3.62
2120-01-13 01:40,Р2-Л2,Линия 2,давление,2.18
2120-01-13 01:40,Т1-Л1,Линия 1,температура,88.44
2120-01-13 01:40,Т2-Л2,Линия 2,температура,
2120-01-13 01:45,В1-АП,Аппаратная,вибрация,2.8
2120-01-13 01:45,П1-ПАР,Котельная,расход пара,51.37
2120-01-13 01:45,Р1-Л1,Линия 1,давление,9999.0
2120-01-13 01:45,Р2-Л2,Линия 2,давление,2.64
2120-01-13 01:45,Т1-Л1,Линия 1,температура,80.19
2120-01-13 01:45,Т2-Л2,Линия 2,температура,87.1
2120-01-13 01:50,В1-АП,Аппаратная,вибрация,1.09
2120-01-13 01:50,П1-ПАР,Котельная,расход пара,58.07
2120-01-13 01:50,Р1-Л1,Линия 1,давление,1.7
2120-01-13 01:50,Р2-Л2,Линия 2,давление,2.91
2120-01-13 01:50,Т1-Л1,Линия 1,температура,84.42
2120-01-13 01:50,Т2-Л2,Линия 2,температура,81.21
2120-01-13 01:55,В1-АП,Аппаратная,вибрация,2.82
2120-01-13 01:55,П1-ПАР,Котельная,расход пара,30.12
2120-01-13 01:55,П1-ПАР,Котельная,расход пара,30.12
2120-01-13 01:55,Р1-Л1,Линия 1,давление,3.49
2120-01-13 01:55,Р2-Л2,Линия 2,давление,3.41
2120-01-13 01:55,Т1-Л1,Линия 1,температура,95.48
2120-01-13 01:55,Т2-Л2,Линия 2,температура,90.35
2120-01-13 02:00,В1-АП,Аппаратная,вибрация,2.31
2120-01-13 02:00,П1-ПАР,Котельная,расход пара,60.23
2120-01-13 02:00,Р1-Л1,Линия 1,давление,3.01
2120-01-13 02:00,Р2-Л2,Линия 2,давление,2.32
2120-01-13 02:00,Т1-Л1,Линия 1,температура,78.33
2120-01-13 02:00,Т2-Л2,Линия 2,температура,85.8
2120-01-13 02:05,В1-АП,Аппаратная,вибрация,2.9
2120-01-13 02:05,П1-ПАР,Котельная,расход пара,60.66
2120-01-13 02:05,Р1-Л1,Линия 1,давление,2.34
2120-01-13 02:05,Р2-Л2,Линия 2,давление,2.69
2120-01-13 02:05,Т1-Л1,Линия 1,температура,82.04
2120-01-13 02:05,Т2-Л2,Линия 2,температура,89.56
2120-01-13 02:10,В1-АП,Аппаратная,вибрация,1.77
2120-01-13 02:10,П1-ПАР,Котельная,расход пара,34.54
2120-01-13 02:10,Р1-Л1,Линия 1,давление,4.18
2120-01-13 02:10,Р2-Л2,Линия 2,давление,1.69
2120-01-13 02:10,Т1-Л1,Линия 1,температура,85.97
2120-01-13 02:10,Т2-Л2,Линия 2,температура,83.74
2120-01-13 02:15,В1-АП,Аппаратная,вибрация,3.85
2120-01-13 02:15,П1-ПАР,Котельная,расход пара,54.9
2120-01-13 02:15,Р1-Л1,Линия 1,давление,2.68
2120-01-13 02:15,Р2-Л2,Линия 2,давление,4.62
2120-01-13 02:15,Т1-Л1,Линия 1,температура,84.56
2120-01-13 02:15,Т2-Л2,Линия 2,температура,93.66
2120-01-13 02:20,В1-АП,Аппаратная,вибрация,2.53
2120-01-13 02:20,П1-ПАР,Котельная,расход пара,62.33
2120-01-13 02:20,Р1-Л1,Линия 1,давление,3.7
2120-01-13 02:20,Р2-Л2,Линия 2,давление,3.22
2120-01-13 02:20,Т1-Л1,Линия 1,температура,81.58
2120-01-13 02:20,Т2-Л2,Линия 2,температура,78.42
2120-01-13 02:25,В1-АП,Аппаратная,вибрация,шум
2120-01-13 02:25,П1-ПАР,Котельная,расход пара,51.96
2120-01-13 02:25,Р1-Л1,Линия 1,давление,1.78
2120-01-13 02:25,Р2-Л2,Линия 2,давление,2.57
2120-01-13 02:25,Т1-Л1,Линия 1,температура,87.63
2120-01-13 02:25,Т2-Л2,Линия 2,температура,79.24
2120-01-13 02:30,В1-АП,Аппаратная,вибрация,2.75
2120-01-13 02:30,П1-ПАР,Котельная,расход пара,36.93
2120-01-13 02:30,Р1-Л1,Линия 1,давление,2.46
2120-01-13 02:30,Р2-Л2,Линия 2,давление,3.06
2120-01-13 02:30,Т1-Л1,Линия 1,температура,86.35
2120-01-13 02:30,Т2-Л2,Линия 2,температура,88.23
2120-01-13 02:35,В1-АП,Аппаратная,вибрация,1.14
2120-01-13 02:35,П1-ПАР,Котельная,расход пара,
2120-01-13 02:35,Р1-Л1,Линия 1,давление,2.33
2120-01-13 02:35,Р2-Л2,Линия 2,давление,2.88
2120-01-13 02:35,Т1-Л1,Линия 1,температура,78.58
2120-01-13 02:35,Т2-Л2,Линия 2,температура,86.52
2120-01-13 02:40,В1-АП,Аппаратная,вибрация,2.24
2120-01-13 02:40,П1-ПАР,Котельная,расход пара,74.11
2120-01-13 02:40,Р1-Л1,Линия 1,давление,4.46
2120-01-13 02:40,Р2-Л2,Линия 2,давление,2.18
2120-01-13 02:40,Т1-Л1,Линия 1,температура,79.27
2120-01-13 02:40,Т2-Л2,Линия 2,температура,93.02
2120-01-13 02:45,В1-АП,Аппаратная,вибрация,0.95
2120-01-13 02:45,П1-ПАР,Котельная,расход пара,11.43
2120-01-13 02:45,Р1-Л1,Линия 1,давление,3.29
2120-01-13 02:45,Р2-Л2,Линия 2,давление,2.62
2120-01-13 02:45,Т1-Л1,Линия 1,температура,90.33
2120-01-13 02:45,Т2-Л2,Линия 2,температура,90.94
2120-01-13 02:50,В1-АП,Аппаратная,вибрация,420.5
2120-01-13 02:50,П1-ПАР,Котельная,расход пара,49.76
2120-01-13 02:50,Р1-Л1,Линия 1,давление,3.65
2120-01-13 02:50,Р2-Л2,Линия 2,давление,2.9
2120-01-13 02:50,Т1-Л1,Линия 1,температура,79.93
2120-01-13 02:50,Т2-Л2,Линия 2,температура,84.98
2120-01-13 02:55,В1-АП,Аппаратная,вибрация,2.23
2120-01-13 02:55,П1-ПАР,Котельная,расход пара,37.78
2120-01-13 02:55,Р1-Л1,Линия 1,давление,2.29
2120-01-13 02:55,Р2-Л2,Линия 2,давление,3.2
2120-01-13 02:55,Т1-Л1,Линия 1,температура,76.62
2120-01-13 02:55,Т2-Л2,Линия 2,температура,98.06
2120-01-13 03:00,В1-АП,Аппаратная,вибрация,1.33
2120-01-13 03:00,П1-ПАР,Котельная,расход пара,38.72
2120-01-13 03:00,Р1-Л1,Линия 1,давление,1.4
2120-01-13 03:00,Р2-Л2,Линия 2,давление,2.97
2120-01-13 03:00,Т1-Л1,Линия 1,температура,91.28
2120-01-13 03:00,Т2-Л2,Линия 2,температура,87.8
2120-01-13 03:05,В1-АП,Аппаратная,вибрация,1.53
2120-01-13 03:05,П1-ПАР,Котельная,расход пара,29.46
2120-01-13 03:05,Р1-Л1,Линия 1,давление,3.05
2120-01-13 03:05,Р2-Л2,Линия 2,давление,2.21
2120-01-13 03:05,Т1-Л1,Линия 1,температура,85.96
2120-01-13 03:05,Т2-Л2,Линия 2,температура,94.81
2120-01-13 03:10,В1-АП,Аппаратная,вибрация,2.92
2120-01-13 03:10,П1-ПАР,Котельная,расход пара,66.55
2120-01-13 03:10,Р1-Л1,Линия 1,давление,8.4
2120-01-13 03:10,Р2-Л2,Линия 2,давление,2.39
2120-01-13 03:10,Т1-Л1,Линия 1,температура,82.81
2120-01-13 03:10,Т2-Л2,Линия 2,температура,84.36
2120-01-13 03:15,В1-АП,Аппаратная,вибрация,2.07
2120-01-13 03:15,П1-ПАР,Котельная,расход пара,60.58
2120-01-13 03:15,Р1-Л1,Линия 1,давление,3.69
2120-01-13 03:15,Р2-Л2,Линия 2,давление,2.3
2120-01-13 03:15,Т1-Л1,Линия 1,температура,87.48
2120-01-13 03:15,Т2-Л2,Линия 2,температура,87.94
2120-01-13 03:20,В1-АП,Аппаратная,вибрация,3.36
2120-01-13 03:20,П1-ПАР,Котельная,расход пара,68.73
2120-01-13 03:20,Р1-Л1,Линия 1,давление,2.76
2120-01-13 03:20,Р2-Л2,Линия 2,давление,2.49
2120-01-13 03:20,Т1-Л1,Линия 1,температура,88.04
2120-01-13 03:20,Т2-Л2,Линия 2,температура,88.11
2120-01-13 03:25,В1-АП,Аппаратная,вибрация,1.2
2120-01-13 03:25,П1-ПАР,Котельная,расход пара,52.21
2120-01-13 03:25,Р1-Л1,Линия 1,давление,3.16
2120-01-13 03:25,Р2-Л2,Линия 2,давление,2.32
2120-01-13 03:25,Т1-Л1,Линия 1,температура,93.75
2120-01-13 03:25,Т2-Л2,Линия 2,температура,89.69
2120-01-13 03:30,В1-АП,Аппаратная,вибрация,1.01
2120-01-13 03:30,П1-ПАР,Котельная,расход пара,57.56
2120-01-13 03:30,Р1-Л1,Линия 1,давление,2.17
2120-01-13 03:30,Р2-Л2,Линия 2,давление,2.93
2120-01-13 03:30,Т1-Л1,Линия 1,температура,88.64
2120-01-13 03:30,Т2-Л2,Линия 2,температура,79.99
2120-01-13 03:35,В1-АП,Аппаратная,вибрация,2.97
2120-01-13 03:35,П1-ПАР,Котельная,расход пара,43.53
2120-01-13 03:35,Р1-Л1,Линия 1,давление,2.74
2120-01-13 03:35,Р2-Л2,Линия 2,давление,
2120-01-13 03:35,Т1-Л1,Линия 1,температура,92.03
2120-01-13 03:35,Т2-Л2,Линия 2,температура,81.15
2120-01-13 03:40,В1-АП,Аппаратная,вибрация,1.93
2120-01-13 03:40,П1-ПАР,Котельная,расход пара,37.36
2120-01-13 03:40,Р1-Л1,Линия 1,давление,3.29
2120-01-13 03:40,Р2-Л2,Линия 2,давление,3.06
2120-01-13 03:40,Т1-Л1,Линия 1,температура,83.62
2120-01-13 03:40,Т2-Л2,Линия 2,температура,87.29
2120-01-13 03:45,В1-АП,Аппаратная,вибрация,2.18
2120-01-13 03:45,П1-ПАР,Котельная,расход пара,99999.0
2120-01-13 03:45,Р1-Л1,Линия 1,давление,2.66
2120-01-13 03:45,Р2-Л2,Линия 2,давление,2.07
2120-01-13 03:45,Т1-Л1,Линия 1,температура,83.71
2120-01-13 03:45,Т2-Л2,Линия 2,температура,87.73
2120-01-13 03:50,В1-АП,Аппаратная,вибрация,2.83
2120-01-13 03:50,П1-ПАР,Котельная,расход пара,18.46
2120-01-13 03:50,Р1-Л1,Линия 1,давление,3.17
2120-01-13 03:50,Р2-Л2,Линия 2,давление,3.14
2120-01-13 03:50,Т1-Л1,Линия 1,температура,84.96
2120-01-13 03:50,Т2-Л2,Линия 2,температура,98.17
2120-01-13 03:55,В1-АП,Аппаратная,вибрация,1.28
2120-01-13 03:55,П1-ПАР,Котельная,расход пара,39.6
2120-01-13 03:55,Р1-Л1,Линия 1,давление,2.21
2120-01-13 03:55,Р2-Л2,Линия 2,давление,1.77
2120-01-13 03:55,Т1-Л1,Линия 1,температура,88.86
2120-01-13 03:55,Т2-Л2,Линия 2,температура,97.18
