Время,Датчик,Показатель,Значение,Единица
04:00,T1-Л1,температура,67.2,°C
04:00,P1-Л1,давление,5.0,атм
04:00,V1-Л2,вибрация,1.9,мм/с
04:10,T1-Л1,температура,73.5,°C
04:10,P1-Л1,давление,3.8,атм
04:10,V1-Л2,вибрация,3.4,мм/с
04:20,T1-Л1,температура,,°C
04:20,P1-Л1,давление,3.9,атм
04:20,V1-Л2,вибрация,2.6,мм/с
04:30,T1-Л1,температура,47.4,°C
04:30,P1-Л1,давление,5.3,атм
04:30,V1-Л2,вибрация,4.1,мм/с
04:40,T1-Л1,температура,74.2,°C
04:40,P1-Л1,давление,2.2,атм
04:40,V1-Л2,вибрация,3.4,мм/с
04:50,T1-Л1,температура,56.3,°C
04:50,P1-Л1,давление,5.1,атм
04:50,V1-Л2,вибрация,1.4,мм/с
05:00,T1-Л1,температура,42.4,°C
05:00,P1-Л1,давление,3.4,атм
05:00,V1-Л2,вибрация,3.7,мм/с
05:10,T1-Л1,температура,65.6,°C
05:10,P1-Л1,давление,5.0,атм
05:10,V1-Л2,вибрация,3.4,мм/с
05:20,T1-Л1,температура,61.2,°C
05:20,P1-Л1,давление,3.0,атм
05:20,V1-Л2,вибрация,2.2,мм/с
05:30,T1-Л1,температура,60.3,°C
05:30,P1-Л1,давление,3.9,атм
05:30,V1-Л2,вибрация,3.2,мм/с
05:40,T1-Л1,температура,64.6,°C
05:40,P1-Л1,давление,2.5,атм
05:40,V1-Л2,вибрация,0.7,мм/с
05:50,T1-Л1,температура,61.1,°C
05:50,P1-Л1,давление,3.8,атм
05:50,V1-Л2,вибрация,2.8,мм/с
06:00,T1-Л1,температура,54.8,°C
06:00,P1-Л1,давление,2.3,атм
06:00,V1-Л2,вибрация,3.7,мм/с
06:10,T1-Л1,температура,,°C
06:10,P1-Л1,давление,3.3,атм
06:10,V1-Л2,вибрация,4.1,мм/с
06:20,T1-Л1,температура,51.7,°C
06:20,P1-Л1,давление,4.4,атм
06:20,V1-Л2,вибрация,4.1,мм/с
06:30,T1-Л1,температура,46.3,°C
06:30,P1-Л1,давление,2.8,атм
06:30,V1-Л2,вибрация,4.3,мм/с
06:40,T1-Л1,температура,57.5,°C
06:40,P1-Л1,давление,4.4,атм
06:40,V1-Л2,вибрация,2.1,мм/с
06:50,T1-Л1,температура,52.0,°C
06:50,P1-Л1,давление,4.3,атм
06:50,V1-Л2,вибрация,1.8,мм/с
07:00,T1-Л1,температура,39.3,°C
07:00,P1-Л1,давление,4.8,атм
07:00,V1-Л2,вибрация,4.2,мм/с
07:10,T1-Л1,температура,73.5,°C
07:10,P1-Л1,давление,3.6,атм
07:10,V1-Л2,вибрация,0.7,мм/с
07:20,T1-Л1,температура,56.3,°C
07:20,P1-Л1,давление,4.8,атм
07:20,V1-Л2,вибрация,9999,мм/с
07:30,T1-Л1,температура,30.9,°C
07:30,P1-Л1,давление,3.6,атм
07:30,V1-Л2,вибрация,2.0,мм/с
07:40,T1-Л1,температура,47.8,°C
07:40,P1-Л1,давление,5.5,атм
07:40,V1-Л2,вибрация,3.3,мм/с
07:50,T1-Л1,температура,,°C
07:50,P1-Л1,давление,2.1,атм
07:50,V1-Л2,вибрация,2.0,мм/с
08:00,T1-Л1,температура,56.6,°C
08:00,P1-Л1,давление,2.4,атм
08:00,V1-Л2,вибрация,1.6,мм/с
08:10,T1-Л1,температура,41.8,°C
08:10,P1-Л1,давление,5.2,атм
08:10,V1-Л2,вибрация,1.9,мм/с
08:20,T1-Л1,температура,69.8,°C
08:20,P1-Л1,давление,5.4,атм
08:20,V1-Л2,вибрация,3.0,мм/с
08:30,T1-Л1,температура,58.4,°C
08:30,P1-Л1,давление,2.1,атм
08:30,V1-Л2,вибрация,2.9,мм/с
08:40,T1-Л1,температура,31.1,°C
08:40,P1-Л1,давление,2.2,атм
08:40,V1-Л2,вибрация,3.0,мм/с
08:50,T1-Л1,температура,52.3,°C
08:50,P1-Л1,давление,3.6,атм
08:50,V1-Л2,вибрация,2.2,мм/с
09:00,T1-Л1,температура,63.2,°C
09:00,P1-Л1,давление,2.5,атм
09:00,V1-Л2,вибрация,3.4,мм/с
09:10,T1-Л1,температура,31.8,°C
09:10,P1-Л1,давление,3.0,атм
09:10,V1-Л2,вибрация,2.9,мм/с
09:20,T1-Л1,температура,31.8,°C
09:20,P1-Л1,давление,3.7,атм
09:20,V1-Л2,вибрация,3.6,мм/с
09:30,T1-Л1,температура,68.9,°C
09:30,P1-Л1,давление,4.4,атм
09:30,V1-Л2,вибрация,1.0,мм/с
09:40,T1-Л1,температура,34.4,°C
09:40,P1-Л1,давление,4.1,атм
09:40,V1-Л2,вибрация,4.0,мм/с
09:50,T1-Л1,температура,45.9,°C
09:50,P1-Л1,давление,4.0,атм
09:50,V1-Л2,вибрация,2.4,мм/с
10:00,T1-Л1,температура,58.4,°C
10:00,P1-Л1,давление,3.7,атм
10:00,V1-Л2,вибрация,1.7,мм/с
10:10,T1-Л1,температура,58.2,°C
10:10,P1-Л1,давление,2.1,атм
10:10,V1-Л2,вибрация,2.6,мм/с
10:20,T1-Л1,температура,70.6,°C
10:20,P1-Л1,давление,3.0,атм
10:20,V1-Л2,вибрация,2.9,мм/с
10:30,T1-Л1,температура,45.7,°C
10:30,P1-Л1,давление,3.8,атм
10:30,V1-Л2,вибрация,4.3,мм/с
10:40,T1-Л1,температура,43.8,°C
10:40,P1-Л1,давление,3.0,атм
10:40,V1-Л2,вибрация,3.3,мм/с
10:50,T1-Л1,температура,30.5,°C
10:50,P1-Л1,давление,5.4,атм
10:50,V1-Л2,вибрация,0.6,мм/с
11:00,T1-Л1,температура,49.5,°C
11:00,P1-Л1,давление,5.4,атм
11:00,V1-Л2,вибрация,0.5,мм/с
11:10,T1-Л1,температура,32.6,°C
11:10,P1-Л1,давление,3.2,атм
11:10,V1-Л2,вибрация,3.2,мм/с
11:20,T1-Л1,температура,43.2,°C
11:20,P1-Л1,давление,5.0,атм
11:20,V1-Л2,вибрация,3.4,мм/с
11:30,T1-Л1,температура,43.5,°C
11:30,P1-Л1,давление,2.4,атм
11:30,V1-Л2,вибрация,1.9,мм/с
11:40,T1-Л1,температура,48.2,°C
11:40,P1-Л1,давление,2.5,атм
11:40,V1-Л2,вибрация,3.3,мм/с
11:50,T1-Л1,температура,71.8,°C
11:50,P1-Л1,давление,2.8,атм
11:50,V1-Л2,вибрация,2.5,мм/с
12:00,T1-Л1,температура,37.5,°C
12:00,P1-Л1,давление,2.5,атм
12:00,V1-Л2,вибрация,2.2,мм/с
12:10,T1-Л1,температура,66.2,°C
12:10,P1-Л1,давление,2.4,атм
12:10,V1-Л2,вибрация,2.6,мм/с
12:20,T1-Л1,температура,34.9,°C
12:20,P1-Л1,давление,3.9,атм
12:20,V1-Л2,вибрация,1.3,мм/с
12:30,T1-Л1,температура,52.3,°C
12:30,P1-Л1,давление,2.9,атм
12:30,V1-Л2,вибрация,2.3,мм/с
12:40,T1-Л1,температура,59.5,°C
12:40,P1-Л1,давление,3.0,атм
12:40,V1-Л2,вибрация,3.0,мм/с
12:50,T1-Л1,температура,63.1,°C
12:50,P1-Л1,давление,2.6,атм
12:50,V1-Л2,вибрация,0.6,мм/с
13:00,T1-Л1,температура,42.7,°C
13:00,P1-Л1,давление,3.8,атм
13:00,V1-Л2,вибрация,3.2,мм/с
13:10,T1-Л1,температура,49.4,°C
13:10,P1-Л1,давление,5.2,атм
13:10,V1-Л2,вибрация,4.4,мм/с
13:20,T1-Л1,температура,61.8,°C
13:20,P1-Л1,давление,5.5,атм
13:20,V1-Л2,вибрация,4.1,мм/с
13:30,T1-Л1,температура,70.1,°C
13:30,P1-Л1,давление,4.5,атм
13:30,V1-Л2,вибрация,4.0,мм/с
13:40,T1-Л1,температура,68.3,°C
13:40,P1-Л1,давление,4.8,атм
13:40,V1-Л2,вибрация,4.3,мм/с
13:50,T1-Л1,температура,47.1,°C
07:50,T1-Л1,температура,46.1,°C
08:00,V1-Л2,вибрация,1.6,мм/с
07:40,P1-Л1,давление,5.5,атм
08:40,T1-Л1,температура,31.1,°C
02:45,T1-Л1,температура,118,°C
