Время,Тип,Регион,Сумма
2026-08-13 13:36,Гель,Север,2418.57
2026-08-13 13:43,Растворитель,Север,360.37
2026-08-13 13:50,Гель,Урал,2696.97
2026-08-13 13:57,Растворитель,Столица,2522.47
2026-08-13 14:04,Концентрат,Урал,4295.24
2026-08-13 14:11,Концентрат,Север,1718.41
2026-08-13 14:18,Концентрат,Столица,4718.62
2026-08-13 14:25,Растворитель,Север,463.63
2026-08-13 14:32,Порошок,Юг,3211.55
2026-08-13 14:39,Гель,Столица,443.61
2026-08-13 14:46,Гель,Юг,2749.18
2026-08-13 14:53,Растворитель,Юг,
2026-08-13 15:00,Порошок,Урал,717.21
2026-08-13 15:07,Концентрат,Столица,2445.58
2026-08-13 15:14,Концентрат,Север,1781.16
2026-08-13 15:21,Гель,Север,4736.0
2026-08-13 15:28,Гель,Урал,2627.07
2026-08-13 15:35,Гель,Север,296.12
2026-08-13 15:42,Порошок,Север,1877.55
2026-08-13 15:49,Гель,Урал,1326.96
2026-08-13 15:56,Порошок,Юг,685.93
2026-08-13 16:03,Растворитель,Столица,247.32
2026-08-13 16:10,Растворитель,Столица,2038.08
2026-08-13 16:17,Концентрат,Юг,2698.09
2026-08-13 16:24,Гель,Север,
2026-08-13 16:31,Порошок,Урал,3486.29
2026-08-13 16:38,Порошок,Столица,1630.04
2026-08-13 16:45,Растворитель,Север,2374.47
2026-08-13 16:52,Порошок,Юг,2485.83
2026-08-13 16:59,Концентрат,Север,2778.7
2026-08-13 17:06,Гель,Столица,909.77
2026-08-13 17:13,Гель,Урал,3908.43
2026-08-13 17:20,Растворитель,Север,
2026-08-13 17:27,Гель,Урал,2552.9
2026-08-13 17:34,Гель,Столица,931.09
2026-08-13 17:41,Растворитель,Урал,4054.15
2026-08-13 17:48,Концентрат,Север,1313.71
2026-08-13 17:55,Концентрат,Север,2405.15
2026-08-13 18:02,Порошок,Урал,179.33
2026-08-13 18:09,Растворитель,Юг,2319.27
2026-08-13 18:16,Концентрат,Столица,554.87
2026-08-13 18:23,Концентрат,Север,1481.12
2026-08-13 18:30,Концентрат,Север,2906.59
2026-08-13 18:37,Гель,Юг,1341.45
2026-08-13 18:44,Порошок,Урал,4732.78
2026-08-13 18:51,Гель,Юг,1470.86
2026-08-13 18:58,Порошок,Юг,1779.41
2026-08-13 19:05,Гель,Юг,653.45
2026-08-13 19:12,Растворитель,Юг,3444.91
2026-08-13 19:19,Гель,Столица,3780.5
2026-08-13 19:26,Порошок,Юг,"2,739.00"
2026-08-13 19:33,Растворитель,Юг,944.96
2026-08-13 19:40,Растворитель,Столица,4681.6
2026-08-13 19:47,Растворитель,Столица,3851.84
2026-08-13 19:54,Концентрат,Север,1854.74
2026-08-13 20:01,Порошок,Столица,1312.54
2026-08-13 20:08,Порошок,Север,3664.65
2026-08-13 20:15,Концентрат,Север,3983.79
2026-08-13 20:22,Гель,Урал,"1,969.00"
2026-08-13 20:29,Порошок,Урал,4111.49
2026-08-13 20:36,Порошок,Север,1563.98
2026-08-13 20:43,Гель,Урал,303.43
2026-08-13 20:50,Порошок,Урал,3484.13
2026-08-13 20:57,Гель,Столица,2393.56
2026-08-13 21:04,Растворитель,Столица,2774.28
2026-08-13 21:11,Гель,Север,2834.51
2026-08-13 21:18,Концентрат,Урал,3857.19
2026-08-13 21:25,Растворитель,Север,1779.4
2026-08-13 21:32,Растворитель,Столица,3745.2
2026-08-13 21:39,Концентрат,Урал,212.14
2026-08-13 21:46,Концентрат,Юг,1647.44
2026-08-13 21:53,Гель,Столица,3021.58
2026-08-13 22:00,Растворитель,Столица,3379.02
2026-08-13 22:07,Концентрат,Столица,4647.73
2026-08-13 22:14,Гель,Столица,532.21
2026-08-13 22:21,Растворитель,Север,3951.52
2026-08-13 22:28,Растворитель,Урал,4245.71
2026-08-13 22:35,Гель,Юг,1815.0
2026-08-13 22:42,Гель,Столица,2478.53
2026-08-13 22:49,Растворитель,Юг,
2026-08-13 22:56,Растворитель,Юг,1515.82
2026-08-13 23:03,Концентрат,Урал,2868.81
2026-08-13 23:10,Концентрат,Столица,4627.46
2026-08-13 23:17,Порошок,Столица,1664.48
2026-08-13 23:24,Порошок,Север,1595.85
2026-08-13 23:31,Гель,Урал,2765.84
2026-08-13 23:38,Концентрат,Юг,3456.69
2026-08-13 23:45,Порошок,Юг,2190.26
2026-08-13 23:52,Растворитель,Столица,3873.39
2026-08-13 23:59,Растворитель,Столица,4512.85
2026-08-14 00:06,Гель,Урал,495.75
2026-08-14 00:13,Порошок,Урал,677.37
2026-08-14 00:20,Концентрат,Юг,3804.41
2026-08-14 00:27,Порошок,Столица,718.5
2026-08-14 00:34,Гель,Север,1393.56
2026-08-14 00:41,Порошок,Юг,3871.92
2026-08-14 00:48,Растворитель,Север,632.00
2026-08-14 00:55,Растворитель,Столица,2318.04
2026-08-14 01:02,Концентрат,Юг,4198.02
2026-08-14 01:09,Растворитель,Урал,665.03
2026-08-14 01:16,Гель,Юг,4587.7
2026-08-14 01:23,Растворитель,Юг,1898.92
2026-08-14 01:30,Концентрат,Столица,
2026-08-14 01:37,Концентрат,Столица,1307.08
2026-08-14 01:44,Гель,Север,684.8
2026-08-14 01:51,Гель,Юг,2430.67
2026-08-14 01:58,Гель,Столица,970.51
2026-08-14 02:05,Концентрат,Столица,2345.18
2026-08-14 02:12,Растворитель,Север,3147.21
2026-08-14 02:19,Концентрат,Юг,2362.15
2026-08-14 02:26,Концентрат,Урал,445.93
2026-08-14 02:33,Растворитель,Урал,2105.58
2026-08-14 02:40,Гель,Столица,2067.31
2026-08-14 02:47,Концентрат,Север,4366.53
2026-08-14 02:54,Концентрат,Юг,1165.75
2026-08-14 03:01,Растворитель,Урал,1369.83
2026-08-14 03:08,Растворитель,Юг,303.48
2026-08-14 03:15,Растворитель,Север,752.42
2026-08-14 03:22,Порошок,Столица,2788.5
2026-08-14 03:29,Порошок,Север,1816.0
2026-08-14 03:36,Растворитель,Урал,1184.63
2026-08-14 03:43,Концентрат,Север,4731.21
2026-08-14 02:54,Концентрат,Юг,1165.75
2026-08-13 14:18,Концентрат,Столица,4718.62
2026-08-13 20:08,Порошок,Север,3664.65
